iter	Passed	Remaining
0	392	1176077
1	820	1229619
2	1212	1211704
3	1621	1214278
4	2015	1207209
5	2159	1077579
6	2583	1104657
7	2931	1096352
8	3343	1111107
9	3724	1113480
10	4118	1119015
11	4524	1126668
12	4911	1128517
13	5292	1128861
14	5707	1135863
15	6058	1129913
16	6451	1132070
17	6805	1127440
18	7216	1132300
19	7618	1135199
20	8032	1139403
21	8400	1137090
22	8772	1135473
23	9145	1134034
24	9523	1133241
25	9872	1129305
26	10246	1128218
27	10625	1127866
28	11015	1128507
29	11384	1127039
30	11753	1125679
31	12111	1123325
32	12495	1123478
33	12845	1120555
34	13225	1120401
35	13636	1122712
36	14045	1124801
37	14413	1123527
38	14782	1122361
39	15189	1124020
40	15561	1123055
41	15953	1123556
42	16297	1120726
43	16711	1122721
44	17098	1122780
45	17476	1122325
46	17882	1123557
47	18302	1125589
48	18688	1125505
49	19093	1126497
50	19459	1125229
51	19794	1122222
52	20134	1119579
53	20492	1117971
54	20878	1117944
55	21214	1115260
56	21578	1114137
57	21981	1115002
58	22370	1115134
59	22687	1111667
60	23052	1110676
61	23450	1111247
62	23785	1108836
63	24160	1108342
64	24532	1107744
65	24897	1106804
66	25222	1104136
67	25577	1102841
68	25965	1102989
69	26304	1101036
70	26684	1100818
71	27070	1100872
72	27430	1099858
73	27770	1098062
74	28163	1098375
75	28527	1097566
76	28874	1096123
77	29291	1097312
78	29659	1096664
79	30072	1097653
80	30440	1096985
81	30844	1097608
82	31169	1095422
83	31556	1095457
84	31968	1096332
85	32417	1098418
86	32787	1097805
87	33138	1096582
88	33533	1096815
89	33916	1096631
90	34302	1096546
91	34752	1098473
92	35104	1097312
93	35469	1096534
94	35847	1096167
95	36215	1095505
96	36596	1095239
97	36978	1095028
98	37346	1094351
99	37752	1094820
100	38168	1095560
101	38559	1095542
102	38978	1096320
103	39360	1096042
104	39796	1097244
105	40203	1097619
106	40622	1098334
107	41013	1098250
108	41431	1098887
109	41793	1098035
110	42147	1096976
111	42501	1095935
112	42902	1096106
113	43295	1096059
114	43635	1094674
115	43993	1093773
116	44385	1093695
117	44765	1093346
118	45150	1093106
119	45567	1093619
120	45977	1093950
121	46373	1093960
122	46751	1093523
123	47150	1093597
124	47556	1093799
125	47919	1093018
126	48329	1093307
127	48713	1093013
128	49144	1093758
129	49529	1093460
130	49954	1094043
131	50373	1094476
132	50774	1094521
133	51143	1093863
134	51564	1094316
135	51963	1094283
136	52348	1093973
137	52663	1092204
138	53028	1091478
139	53408	1091051
140	53817	1091236
141	54209	1091053
142	54595	1090770
143	55014	1091120
144	55390	1090619
145	55783	1090460
146	56187	1090498
147	56613	1090965
148	57008	1090814
149	57411	1090822
